"","IaStar","EaStar"
"1618",6.81794214192461e-06,5.00481181424404e-06
"1619",4.63667161787718e-06,3.55405823752519e-06
"1620",3.1897832987381e-06,2.73170693418093e-06
"1621",4.94554298804896e-06,3.83521659457997e-06
"1622",6.94305591727487e-06,5.40041777893315e-06
"1623",5.59779091557011e-06,4.17287357420925e-06
"1624",1.10088790926821e-05,8.21574396618989e-06
"1625",5.77641056582409e-06,4.41309600504568e-06
"1626",9.46082194857089e-06,6.64517208835453e-06
"1627",1.93960373784097e-06,1.62056796478432e-06
"1628",7.36453708984991e-06,5.55974517116611e-06
"1629",2.48651023598034e-05,1.70813567731237e-05
"1630",6.05298849759776e-06,4.6594737874387e-06
"1631",6.45543383431199e-06,4.90146007177853e-06
"1632",6.79685555672745e-06,4.72173091507338e-06
"1633",2.40554800362256e-06,2.13107755954581e-06
"1634",1.3622449022753e-05,9.82365946539966e-06
"1635",1.49685264443495e-05,1.06517143166288e-05
"1636",5.52277130810518e-06,4.37930726380709e-06
"1637",4.73428610157807e-06,3.9014998804049e-06
"1638",4.74557598814248e-06,3.61313060341165e-06
"1639",9.29275269874883e-06,7.26395262643988e-06
"1640",9.68299669839655e-06,6.98873554380904e-06
"1641",7.98716914364911e-06,6.54755835705613e-06
"1642",1.06412653044011e-05,8.36338816226146e-06
"1643",5.13696475873942e-06,3.98364925257598e-06
"1644",5.64728977699573e-06,4.56577786646574e-06
"1645",4.10985019732623e-06,3.37904666508595e-06
"1646",9.06315992686631e-06,6.68238861393335e-06
"1647",6.56831766181053e-06,5.21833493207717e-06
"1648",5.79134020510874e-06,4.206926833332e-06
"1649",2.87425871428335e-06,2.58100073326929e-06
"1650",6.68859200913397e-06,5.30559825816007e-06
"1651",5.53224935496553e-06,4.25377416274989e-06
"1652",1.20474222909139e-05,9.01076452431267e-06
"1653",6.20065578358796e-06,4.71387148634697e-06
"1654",1.64349223601157e-05,1.18626288532982e-05
"1655",6.63428009176259e-06,5.1327329724483e-06
"1656",2.57730699361946e-06,2.06130197059925e-06
"1657",1.09867564523473e-05,8.20622681531246e-06
"1658",9.86864755988181e-06,7.24238062730986e-06
"1659",8.80721525910216e-06,6.17259408618392e-06
"1660",5.44826779660011e-06,4.35331065174849e-06
"1661",4.29873257793839e-06,3.38307213501814e-06
"1662",6.72870774097666e-06,5.1181947369397e-06
"1663",5.84083238459569e-06,4.35284277349251e-06
"1664",6.38630883239238e-06,5.00189564391431e-06
"1665",9.99788972026259e-06,7.10598787681832e-06
"1666",1.04958090964907e-05,7.41961860219739e-06
"1667",1.00611928280548e-05,7.12323202474471e-06
"1668",1.06687315403846e-05,8.04166096360685e-06
"1669",4.2322839596434e-06,3.43144223971115e-06
"1670",5.0401892406631e-06,4.06593895775375e-06
"1671",9.77108675386795e-06,7.27576713547344e-06
"1672",4.44773718805204e-06,3.76410168375949e-06
"1673",8.09509550641858e-06,5.82823118847384e-06
"1674",5.90018349809866e-06,4.41236523213144e-06
"1675",1.09458944104744e-05,8.0703152187412e-06
"1676",5.65394753297527e-06,4.4006277034705e-06
"1677",1.99312515533945e-05,1.38766744246155e-05
"1678",2.84836658049746e-06,2.37177725353678e-06
"1679",2.77343985868642e-06,2.31292229606125e-06
"1680",3.86048943302143e-06,3.16945525956507e-06
"1681",5.34266217688214e-06,4.0962882651529e-06
"1682",5.95498304029789e-06,4.94886635449812e-06
"1683",3.08842975082635e-06,2.45460902793767e-06
"1684",2.78807166632578e-06,2.28609838147135e-06
"1685",6.03259465411443e-06,4.70083379938207e-06
"1686",6.60227268374659e-06,5.18218451667242e-06
"1687",9.28176227737292e-06,6.33841513677501e-06
"1688",7.92730125945196e-06,5.91235383335017e-06
"1689",6.40497840978857e-06,5.2714365374639e-06
"1690",7.74183442492479e-06,6.00377775138872e-06
"1691",5.42421648140043e-06,3.88920730497479e-06
"1692",1.74027321859117e-05,1.26641891547668e-05
"1693",5.82853062500742e-06,4.34246285377896e-06
"1694",2.40806795855447e-06,2.14486662055936e-06
"1695",7.97443613554955e-06,6.07752364475768e-06
"1696",9.07252203028416e-06,6.72387771926526e-06
"1697",1.45227591240401e-05,9.92829848977864e-06
"1698",2.31143767304476e-05,1.59628507773056e-05
"1699",2.74608287994035e-06,2.29251433186585e-06
"1700",1.14377664352704e-05,8.37510159089038e-06
"1701",3.98919009008628e-06,3.42506458718298e-06
"1702",7.44715396407122e-06,5.62427489737658e-06
