"","IaStar1","EaStar1"
"4064",9.05887438540104e-06,5.71413153547277e-06
"4065",1.72378992206737e-05,1.05845689521757e-05
"4066",5.93082594047147e-06,4.14997765666387e-06
"4067",6.75076839975717e-06,4.87824701779087e-06
"4068",4.99170877733937e-06,3.62210518169191e-06
"4069",1.53955870424381e-05,9.66875800204803e-06
"4070",1.78857880084582e-05,1.13565500775174e-05
"4071",1.05954857711725e-05,7.03481092030004e-06
"4072",5.17206744580722e-06,3.68730585654729e-06
"4073",7.29649264359826e-06,5.00239788662398e-06
"4074",7.86435202350195e-06,4.99962127024556e-06
"4075",9.39232628551835e-06,6.49991048573185e-06
"4076",8.33577112168769e-06,5.63151456644021e-06
"4077",9.57759172699338e-06,6.56738956653688e-06
"4078",1.87328383373365e-05,1.11473449242213e-05
"4079",1.72949239938791e-05,1.13595222600853e-05
"4080",9.22642007439067e-06,6.16480703619173e-06
"4081",2.10665893272249e-05,1.29992763477553e-05
"4082",7.57612168527967e-06,5.17185342885929e-06
"4083",1.25535295639517e-05,8.86725422555508e-06
"4084",2.55983507745187e-05,1.5952665232413e-05
"4085",5.49830250638076e-06,3.68412523021143e-06
"4086",3.19787384581062e-05,1.95086312807958e-05
"4087",9.88968407924202e-06,6.68427406978933e-06
"4088",9.14100041892339e-06,5.99606307809694e-06
"4089",7.16882857538693e-06,5.06852445388544e-06
"4090",1.73917813617511e-05,1.08807392980013e-05
"4091",4.74489833304768e-06,3.33687098490816e-06
"4092",1.02900875105972e-05,6.59089648742286e-06
"4093",1.0986374834371e-05,7.23104661033929e-06
"4094",9.01575854434361e-06,6.10364327347254e-06
"4095",4.17467803220775e-06,3.04877946011971e-06
"4096",1.02842847754662e-05,6.5939509004342e-06
"4097",5.27214661538237e-06,3.66767118868066e-06
"4098",1.79714393461868e-05,1.06876129314121e-05
"4099",1.83151466367171e-05,1.12740970796786e-05
"4100",1.16588361755479e-05,7.67868907925113e-06
"4101",1.30484095539254e-05,8.87034369158214e-06
"4102",1.36409137242526e-05,9.28545430545628e-06
"4103",1.03317257291379e-05,6.31099761182662e-06
"4104",1.28633673893497e-05,8.2855398641935e-06
"4105",9.56085575568934e-06,6.41404930330075e-06
"4106",2.12802629323056e-05,1.29379094306697e-05
"4107",1.69978579639568e-05,1.17155996530117e-05
"4108",9.57813604990531e-06,6.38654706584222e-06
"4109",1.02131571100668e-05,6.91172604470641e-06
"4110",7.52286306067326e-06,5.14388043244809e-06
"4111",1.37982604427819e-05,8.57453429887524e-06
"4112",7.86070600247758e-06,5.43257920401573e-06
"4113",5.81867572772216e-06,3.97667730640328e-06
"4114",8.31600066054267e-06,6.13353866799945e-06
"4115",2.50535483128303e-05,1.37847222395309e-05
"4116",4.83473895485515e-06,3.37698873718548e-06
"4117",2.36354318930418e-05,1.3312066002744e-05
"4118",1.9710796549712e-05,1.19034392849664e-05
"4119",1.26344642802702e-05,8.08309097140647e-06
"4120",1.33136993959828e-05,8.51164226735889e-06
"4121",1.57068317573114e-05,1.00246073048432e-05
"4122",1.31370582016176e-05,8.00874832039973e-06
"4123",1.27421304704133e-05,7.66970136727996e-06
"4124",5.43623690976764e-06,3.62524462076338e-06
"4125",1.95204198761784e-05,1.15340291345079e-05
"4126",9.02676819216329e-06,6.14835243287849e-06
"4127",8.65638540963761e-06,5.61653680225837e-06
"4128",9.24493989133606e-06,6.35161976179193e-06
"4129",8.32626395418906e-06,5.49517377384332e-06
"4130",2.31883836841131e-05,1.35716993919554e-05
"4131",1.46930737049809e-05,9.3887956154995e-06
"4132",1.44255685587956e-05,9.8901995394511e-06
"4133",9.60744493795155e-06,6.53477337788203e-06
"4134",8.27738103761571e-06,5.89129458010029e-06
"4135",5.38601913581542e-06,3.7404344326808e-06
"4136",1.13987262825436e-05,7.03503555377473e-06
"4137",1.56897577064009e-05,1.00119028548622e-05
"4138",6.45616282858657e-06,4.68560309893425e-06
"4139",1.28082272630101e-05,8.65878152501805e-06
"4140",1.0931681080785e-05,7.31882196513134e-06
